ID	title	description	link	image_link	availability	price	google_​​product_category	identifier_exists
10	Arrow 2.5T Green Standard Pallet Jack	The Arrow 2.5T Green Edition is our entry level jack perfect for most pallet moving jobs.	https://arrowwarehousing.co.nz/arrow-25t-green-standard-2-way-pallet-jack	http://localhost:15536/images/thumbs/0000298_arrow-25t-green-standard-pallet-jack.jpeg	in stock	340.00 NZD	Pallet Jacks & Stackers	false
9	Arrow 2.5T Red Chep 4-Way Pallet Jack	Our best seller, the Arrow 2.5T Red "CHEP" Edition pallet truck is a tough all round jack perfect for most warehouses and workshops.	https://arrowwarehousing.co.nz/arrow-25t-red-chep-4-way-pallet-jack	http://localhost:15536/images/thumbs/0000297_arrow-25t-red-chep-4-way-pallet-jack.jpeg	in stock	387.00 NZD	Pallet Jacks & Stackers	false
11	Arrow 2.5T Yellow Short Chep 4-Way Pallet Jack	The compact Arrow 2.5T Short Edition pallet jack is perfect for use where space is tight, such as the back of trucks or in small warehouses.	https://arrowwarehousing.co.nz/arrow-25t-yellow-short-chep-4-way-pallet-jack	http://localhost:15536/images/thumbs/0000299_arrow-25t-yellow-short-chep-4-way-pallet-jack.jpeg	in stock	387.00 NZD	Pallet Jacks & Stackers	false
52	Automatic Drum Lift (500kg)	Designed for standard 205 litre steel drums, the fully automatic clamping action on the Arrow Automatic Drum Lift enables safe and precise placement of drums without the operator having to leave the drivers seat.	https://arrowwarehousing.co.nz/automatic-drum-lift-500kg	http://localhost:15536/images/thumbs/0000375_automatic-drum-lift-500kg.jpeg	in stock	480.00 NZD	Forklift Attachments	false
60	Braked Castor Wheel	One 75mm swivel polyurethane castor wheel with bearings and brakes.  Can be screwed and installed to any wood or metal surface.	https://arrowwarehousing.co.nz/braked-castor-wheel	http://localhost:15536/images/thumbs/0000385_braked-castor-wheel.jpeg	in stock	15.00 NZD	Parts	false
48	Container Ramp 6 Ton (Certified)	The Arrow container ramp is designed for standard containers including 40ft and 20ft as well as high cube versions.  It is certified to 8 tonnes and includes anti-slip safety chains for added safety.	https://arrowwarehousing.co.nz/container-ramp-standard	http://localhost:15536/images/thumbs/0000362_container-ramp-6-ton-certified.jpeg	in stock	690.00 NZD	Container Ramps	false
50	Container Ramp 8 Ton (certified)	The extended length container ramp is designed for standard containers including high cube versions.   The longer length allows for shallower entry into containers.	https://arrowwarehousing.co.nz/container-ramp-extended	http://localhost:15536/images/thumbs/0000370_container-ramp-8-ton-certified.jpeg	in stock	1100.00 NZD	Container Ramps	false
71	Digital Crane Scales 10000kg	These heavy duty hanging crane scales suit a wide variety of applications.  Features and easy to read digital display and good battery life. Remote controlled.	https://arrowwarehousing.co.nz/digital-crane-scales-10000kg-copy	http://localhost:15536/images/thumbs/0000452_digital-crane-scales-10000kg.jpeg	out of stock	480.00 NZD	Heavy Duty Scales	false
62	Digital Crane Scales 1000kg	These heavy duty hanging crane scales suit a wide variety of applications.  Features and easy to read digital display and good battery life. Remote controlled.	https://arrowwarehousing.co.nz/digital-crane-scales-1000kg	http://localhost:15536/images/thumbs/0000407_digital-crane-scales-1000kg.jpeg	out of stock	390.00 NZD	Heavy Duty Scales	false
61	Digital Crane Scales 3000kg	These heavy duty hanging crane scales suit a wide variety of applications.  Features and easy to read digital display and good battery life. Remote controlled.	https://arrowwarehousing.co.nz/digital-crane-scales-3000kg	http://localhost:15536/images/thumbs/0000406_digital-crane-scales-3000kg.jpeg	in stock	400.00 NZD	Heavy Duty Scales	false
63	Digital Crane Scales 5000kg	These heavy duty hanging crane scales suit a wide variety of applications.  Features and easy to read digital display and good battery life. Remote controlled.	https://arrowwarehousing.co.nz/digital-crane-scales-5000kg	http://localhost:15536/images/thumbs/0000408_digital-crane-scales-5000kg.jpeg	in stock	440.00 NZD	Heavy Duty Scales	false
41	Digital Hanging Scales 300kg	These lightweight hanging scales suit a wide variety of applications.  Features and easy to read digital display and excellent battery life.	https://arrowwarehousing.co.nz/digital-hanging-scales-300kg	http://localhost:15536/images/thumbs/0000344_digital-hanging-scales-300kg.jpeg	in stock	139.00 NZD	Heavy Duty Scales	false
42	Digital Hanging Scales 500kg	These lightweight hanging scales suit a wide variety of applications.  Features and easy to read digital display and excellent battery life.	https://arrowwarehousing.co.nz/digital-hanging-scales-500kg	http://localhost:15536/images/thumbs/0000345_digital-hanging-scales-500kg.jpeg	in stock	149.00 NZD	Heavy Duty Scales	false
8	Electric Lift Hand Stacker Truck 1 Ton / 3.0m	This 1 ton electric hand stacker uses a battery-powered hydraulic to lift up to a max of 3 metres.  It is significantly faster than manual pull power.	https://arrowwarehousing.co.nz/electric-lift-hand-stacker-truck-30m	http://localhost:15536/images/thumbs/0000295_electric-lift-hand-stacker-truck-1-ton-30m.jpeg	out of stock	3000.00 NZD	Pallet Stackers	false
44	Fork Jib FJL25 (2.5 tonne)	FJL25 Fixed Long Jib quickly attaches to the forks on your forklift adding a 3.5 metre extension for long reach lifts. It has a lift capacity of 2.5 tonnes. The overall jib length when retracted is 2.1 metres.	https://arrowwarehousing.co.nz/fork-jib-fjl25-25-tonne	http://localhost:15536/images/thumbs/0000354_fork-jib-fjl25-25-tonne.jpeg	in stock	952.00 NZD	Forklift Attachments	false
51	Fork Jib FJLC45 (4.5 tonne)	FJL45 Fixed Long Jib quickly attaches to the forks on your forklift adding a 3.5 metre extension for long reach lifts. It has a lift capacity of4.5 tonnes. The overall jib length when retracted is 2.1 metres.	https://arrowwarehousing.co.nz/fork-jib-fjlc45-45-tonne	http://localhost:15536/images/thumbs/0000459_fork-jib-fjlc45-45-tonne.jpeg	in stock	1050.00 NZD	Forklift Attachments	false
45	Forklift Access Safety Cage	The WP-N safety cage quickly attaches your forklift allowing your team members to access hard-to-reach places.  It is suitable for a maximum of two people and 250kg in weight.	https://arrowwarehousing.co.nz/forklift-access-safety-cage	http://localhost:15536/images/thumbs/0000355_forklift-access-safety-cage.jpeg	in stock	750.00 NZD	Forklift Attachments	false
46	Forklift Extensions (1.8m)	These Arrow fork extensions quickly slip onto your forklift allows you to more safely carry larger or longer loads.  They are made from high tensile grade steel with a galvanised finish for corrosion prevention.	https://arrowwarehousing.co.nz/forklift-extensions-18m	http://localhost:15536/images/thumbs/0000358_forklift-extensions-18m.jpeg	in stock	425.00 NZD	Forklift Attachments	false
47	Forklift Extensions (2.4m)	These Arrow fork extensions quickly slip onto your forklift allows you to  carry larger or longer loads.  They are made from high tensile grade steel with a galvanised finish for corrosion prevention.	https://arrowwarehousing.co.nz/forklift-extensions-24m	http://localhost:15536/images/thumbs/0000360_forklift-extensions-24m.jpeg	in stock	485.00 NZD	Forklift Attachments	false
16	High Lift Scissor Pallet Jack 1.5T 550 width	This pallet jack is designed to lift loads to an ergonomic height for easy lifting and loading of products into higher spaces such as trucks or pallet racking.	https://arrowwarehousing.co.nz/high-lift-scissor-pallet-jack-15t-550-width	http://localhost:15536/images/thumbs/0000305_high-lift-scissor-pallet-jack-15t-550-width.jpeg	out of stock	1000.00 NZD	Pallet Jacks & Stackers	false
17	High Lift Scissor Pallet Jack 1.5T 685 width	This pallet jack is designed to lift loads to an ergonomic height for easy lifting and loading of products into higher spaces such as trucks or pallet racking.	https://arrowwarehousing.co.nz/high-lift-scissor-pallet-jack-15t-685-width	http://localhost:15536/images/thumbs/0000306_high-lift-scissor-pallet-jack-15t-685-width.jpeg	out of stock	1100.00 NZD	Pallet Jacks & Stackers	false
5	Hydraulic Hand Stacker Truck (Straddle) 2.5m	This hand stacker uses a simple hand pump to lift to a maximum height of 2.5 metres.  It is moved by manual pull power.	https://arrowwarehousing.co.nz/hydraulic-hand-stacker-truck-straddle-25m	http://localhost:15536/images/thumbs/0000291_hydraulic-hand-stacker-truck-straddle-25m.jpeg	in stock	1400.00 NZD	Pallet Stackers	false
72	Hydraulic Hand Stacker Truck (Straddle) 3.0 m	This hand stacker uses a simple hand pump to lift to a maximum height of 3.0 metres.  It is moved by manual pull power.	https://arrowwarehousing.co.nz/hydraulic-hand-stacker-truck-straddle-25m-copy	http://localhost:15536/images/thumbs/0000453_hydraulic-hand-stacker-truck-straddle-30-m.jpeg	out of stock	1500.00 NZD	Pallet Stackers	false
4	Hydraulic Hand Stacker Truck 1.6m	This hand stacker uses a simple hand pump to lift to a maximum height of 1.6 metres.  It is moved by manual pull power.	https://arrowwarehousing.co.nz/hydraulic-hand-stacker-truck-16m	http://localhost:15536/images/thumbs/0000290_hydraulic-hand-stacker-truck-16m.jpeg	out of stock	1000.00 NZD	Pallet Stackers	false
7	Hydraulic Hand Stacker Truck 3.0m	This hand stacker uses a simple hand pump to lift to a maximum height of 3 metres.  It is moved by manual pull power.	https://arrowwarehousing.co.nz/hydraulic-hand-stacker-truck-3m	http://localhost:15536/images/thumbs/0000294_hydraulic-hand-stacker-truck-30m.jpeg	in stock	1350.00 NZD	Pallet Stackers	false
74	Hydraulic Lifting Table 1.5m / 400 kg	This Hydraulic Lifting Table uses a simple hand pump to lift to a maximum height of 1.5 metres. Hydraulic Lifting Table It is moved by manually	https://arrowwarehousing.co.nz/hydraulic-lifting-table-15m-400-kg	http://localhost:15536/images/thumbs/0000457_hydraulic-lifting-table-15m-400-kg.jpeg	in stock	949.00 NZD	Pallet Stackers	false
20	Machinery Skates - 15 T	Designed to move heavy objects up to 15 tonne such as machinery around your warehouse.	https://arrowwarehousing.co.nz/machinery-skates-15t	http://localhost:15536/images/thumbs/0000310_machinery-skates-15-t.jpeg	in stock	200.00 NZD	Pallet Jacks & Stackers	false
21	Machinery Skates - 8T	Designed to move heavy objects up to 8 tonne such as machinery around your warehouse.	https://arrowwarehousing.co.nz/machinery-skates-8t	http://localhost:15536/images/thumbs/0000311_machinery-skates-8t.jpeg	out of stock	135.00 NZD	Pallet Jacks & Stackers	false
70	Machinery Skates -12T	Designed to move heavy objects up to 12 tonne such as machinery around your warehouse.	https://arrowwarehousing.co.nz/machinery-skates-12t-2	http://localhost:15536/images/thumbs/0000450_machinery-skates-12t.jpeg	in stock	160.00 NZD	Pallet Jacks & Stackers	false
58	Mobile Hydraulic Scissor Lifter Platform Trolley 300kg	This hydraulic trolley is designed to lift loads to a safe and ergonomic height for users (up to 900mm).   It's large 815mm x 500mm tray lifts heavy or bulky objects to an appropriate height for loading into vehicles or onto shelving.	https://arrowwarehousing.co.nz/mobile-hydraulic-scissor-lifter-platform-trolley-300kg	http://localhost:15536/images/thumbs/0000382_mobile-hydraulic-scissor-lifter-platform-trolley-300kg.jpeg	out of stock	490.00 NZD	Hand Trolleys	false
14	Pallet Jack Scales 550mm width	The Arrow 2.5T weighing pallet jack with scales is suitable for weighing items on pallets or bins.	https://arrowwarehousing.co.nz/pallet-jack-scales-550mm-width	http://localhost:15536/images/thumbs/0000302_pallet-jack-scales-550mm-width.jpeg	out of stock	1400.00 NZD	Pallet Jacks & Stackers	false
13	Pallet Jack Scales 685mm width	The Arrow 2.5T weighing pallet jack with scales is suitable for weighing items on pallets or bins.	https://arrowwarehousing.co.nz/pallet-jack-scales-685mm-width	http://localhost:15536/images/thumbs/0000301_pallet-jack-scales-685mm-width.jpeg	in stock	1400.00 NZD	Pallet Jacks & Stackers	false
23	Pallet Platform Scales 1.0m x 1.0m (with Wireless Head Unit)	This product is ideal for warehouse applications where quick and accurate pallet weighing is required.	https://arrowwarehousing.co.nz/pallet-platform-scales-10m-x-10m-with-wireless-head-unit	http://localhost:15536/images/thumbs/0000314_pallet-platform-scales-10m-x-10m-with-wireless-head-unit.jpeg	in stock	790.00 NZD	Pallet Scales	false
22	Pallet Platform Scales 1.2m x 1.2m (with Wireless Head Unit)	This product is ideal for warehouse applications where quick and accurate pallet weighing is required.	https://arrowwarehousing.co.nz/pallet-platform-scales-12m-x-12m-with-wireless-head-unit	http://localhost:15536/images/thumbs/0000313_pallet-platform-scales-12m-x-12m-with-wireless-head-unit.jpeg	in stock	869.00 NZD	Pallet Scales	false
73	Self Propelled Electric Lift  Stacker  1 Ton / 3.0m	This 1 ton electric Self Propelled  uses a battery-powered hydraulic to lift up to a max of 3 meters.  It is significantly faster than manual pull power. and a travel up to 4.5 KPH with a simple controller	https://arrowwarehousing.co.nz/electric-lift-hand-stacker-truck-1-ton-30m-copy	http://localhost:15536/images/thumbs/0000455_self-propelled-electric-lift-stacker-1-ton-30m.jpeg	out of stock	4000.00 NZD	Pallet Stackers	false
59	Swivel Castor Wheel	One 75mm swivel polyurethane castor wheel with bearings.  Can be screwed and installed to any wood or metal surface.	https://arrowwarehousing.co.nz/swivel-castor-wheel	http://localhost:15536/images/thumbs/0000384_swivel-castor-wheel.jpeg	in stock	9.00 NZD	Parts	false
